Produto,CAS,Descrição,DataSheet
dl-B-hydroxypalmitic acid,928-17-6,3-hydroxyhexadecanoic acid,https://chemicals.logicwebsites.com/data-sheets/5276.pdf
Acetylenedicarboxylic acid monopotassium salt,928-04-1,2-Butynedioic acid monopotassium salt;potassium but-2-ynedioate;potassium 3-carboxypropiolate,https://chemicals.logicwebsites.com/data-sheets/5275.pdf
Propylmagnesiumbromide,927-77-5,n-Propylmagnesium bromide;magnesium bromide propan-1-ide (1:1:1);bromo(propyl)magnesium,https://chemicals.logicwebsites.com/data-sheets/5274.pdf
3-Butyn-1-ol,927-74-2,But-3-in-1-ol;But-3-yn-1-ol,https://chemicals.logicwebsites.com/data-sheets/5273.pdf
4-chlorobut-1-ene,927-73-1,"1-Butene, 4-chloro-;4-Chloro-1-butene;4-Chlorobut-1-ene;4-Chlorobutene",https://chemicals.logicwebsites.com/data-sheets/5272.pdf
2-bromoethyl acetate,927-68-4,2-Bromo Ethanol Acetate;Acetic acid 2-bromoethyl ester;2-bromo-1-ethanol acetate,https://chemicals.logicwebsites.com/data-sheets/5271.pdf
3-dimethylaminoacrolein,927-63-9,3-(Dimethylamino)-acrolein;(2E)-3-(dimethylamino)prop-2-enal;3-Dimethylamino-propenal,https://chemicals.logicwebsites.com/data-sheets/5270.pdf
"N,N-Dimethylbutylamine",927-62-8,"1-Butanamine,N,N-dimethyl-;ar84996;Butylamine, N,N-dimethyl-;Butyldimethylamine;butyl-dimethyl-amine;n,n-dimethyl-1-butanamin;N,N-Dimethyl-1-butanamine;n,n-dimethyl-butylamin;N,N-dimethylbutan-1-amine;N,N-dimethylbutan-1-aminium",https://chemicals.logicwebsites.com/data-sheets/5269.pdf
4-bromobutyryl chloride,927-58-2,"Butanoyl chloride, 4-bromo-;4-Bromobutyryl chloride;4-bromobutanoyl chloride",https://chemicals.logicwebsites.com/data-sheets/5268.pdf
6-Undecanone,927-49-1,Di-n-amyl ketone~Di-n-pentyl ketone;Undecanone;dipentyl ketone;6-Undecanone (Diamylketone);Di-n-amyl ketone;6-Hendecanon;6-Oxoundecane;6-Undecanon;Amyl ketone;amylketone;Diamylketon;Pentyl ketone;pentylketone;undecan-6-one,https://chemicals.logicwebsites.com/data-sheets/5267.pdf
magnesium glycerophosphate,927-20-8,"Magnesium alpha-glycerophosphate;1,2,3-Propanetriol, 1-(dihydrogen phosphate), magnesium salt (1:1);Glycerol, 1-(dihydrogen phosphate), magnesium salt (1:1);Magnesium 1,2,3-propanetriol 1-(dihydrogen phosphate) (1:1);Magnesium glycerol 1-(dihydrogen phosphate) (1:1);Magnesium glycerophosphate;magnesium 2,3-dihydroxypropyl phosphate",https://chemicals.logicwebsites.com/data-sheets/5266.pdf
2-Ethoxypropene,926-66-9,2-ethoxyprop-1-ene,https://chemicals.logicwebsites.com/data-sheets/5264.pdf
2-(vinyloxy)propane,926-65-8,"2-(Ethenyloxy)propane;2-(Vinyloxy)propane;213-142-5;Isopropyl vinyl ether;propane, 2-(ethenyloxy)-",https://chemicals.logicwebsites.com/data-sheets/5263.pdf
Dimethylaminoacetonitrile,926-64-7,"N,N-DIMETHYLGLYCINONITRILE;N，N-Dimethylaminoacetonitrile;DIMETHYLCYANOCACETAMIDE;2-Dimethylaminoacetonitrile;2-(DIMETHYLAMINO)ACETRONITRILE;(CH3)2NCH2CN;(dimethylamino)-acetonitril;Glycinonitrile, N,N-dimethyl- N-(Cyanomethyl)dimethylamine;n,n-dimethyl-glycinonitril;cyano-N,N-dimethylmethanaminium",https://chemicals.logicwebsites.com/data-sheets/5262.pdf
dimethyl(propyl)amine,926-63-6,"1-Propanamine, N,N-dimethyl-;N,N-Dimethylpropylamine;Dimethyl(propyl)amine;Dimethyl-N-propylamine;Dimethyl-N-propylamine [UN2266] [Flammable liquid];Dimethylpropylamine;UN2266",https://chemicals.logicwebsites.com/data-sheets/5261.pdf
isobutylmagnesium bromide,926-62-5,"Isobutylmagnesium(1+) bromide;magnesium(1+), (2-methylpropyl)-, bromide (1:1);(2-methylpropyl)magnesium(1+) bromide",https://chemicals.logicwebsites.com/data-sheets/5260.pdf
2-Aminoethyl hydrogen sulfate,926-39-6,,https://chemicals.logicwebsites.com/data-sheets/5257.pdf
Vinyl tert.-butyl ether,926-02-3,tert-Butyl vinyl ether;Vinyltertiarybutylether;tert-butyl ethenyl ether,https://chemicals.logicwebsites.com/data-sheets/5256.pdf
Ethanol-d,925-93-9,Ethyl (2)alcohol,https://chemicals.logicwebsites.com/data-sheets/5255.pdf
Ethylmagnesium bromide,925-90-6,"Ethyl magnesium bromide;Bromoethylmagnesium;Magnesium, bromoethyl-;Ethvlmagnesiumbromide;magnesium bromide ethanide (1:1:1)",https://chemicals.logicwebsites.com/data-sheets/5254.pdf
